feature,importance
total_spent,0.3150717328131807
avg_order_value,0.3142110969315071
avg_delivery_delay_days,0.16185004987433985
avg_delivery_days,0.14888137823594752
avg_review_score,0.035437084676613044
total_items,0.018284953741771456
late_delivery_rate,0.003424064094467885
total_orders,0.0028396396321724443
